,loc,species,treatment,animal_id,sl,size,activity,comment
1,LIRS 2014,ambon,CO2,64,56.98794481,big,8.147368421,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
2,LIRS 2014,ambon,CO2,65,38.2381647,big,10.50526316,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
3,LIRS 2014,ambon,CO2,67,39.30947208,big,6.513043478,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
4,LIRS 2014,ambon,CO2,68,36.07154769,big,27.83636364,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
5,LIRS 2014,lemon,CO2,74,36.43578302,big,36.6826087,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
6,LIRS 2014,ambon,CO2,75,35.88814447,big,42.79615385,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
7,LIRS 2014,lemon,CO2,81,35.7285803,big,21.92083333,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
8,LIRS 2014,ambon,CO2,84,38.36064277,big,24.58148148,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
9,LIRS 2014,ambon,CO2,222,34,big,NA,recording failed
10,LIRS 2014,ambon,CO2,85,48.2550872,big,35.07777778,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
11,LIRS 2014,ambon,CO2,88,43.36113625,big,1.025,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
12,LIRS 2014,ambon,CO2,89,36.28112199,big,9.113636364,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
13,LIRS 2014,ambon,CO2,91,47.85619659,big,10.88148148,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
14,LIRS 2014,ambon,CO2,92,39.30947208,big,5.283333333,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
15,LIRS 2014,ambon,CO2,160,37.02660555,big,19.81153846,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
16,LIRS 2014,ambon,CO2,163,38.66295081,big,18.94074074,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
17,LIRS 2014,ambon,CO2,164,38.17658447,big,22.46296296,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
18,LIRS 2014,chromis,CO2,221,40.64453056,big,14.91111111,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
19,LIRS 2014,chromis,CO2,222,61.07238835,big,21.21481481,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
20,LIRS 2014,acantho,CO2,223,92.53241927,big,3.659259259,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
21,LIRS 2014,acantho,CO2,224,52.44944927,big,28.91818182,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
22,LIRS 2014,acantho,CO2,225,68.79863616,big,10.75185185,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
23,LIRS 2014,acantho,CO2,226,63.27101109,big,14.14444444,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
24,LIRS 2014,acantho,CO2,231,71.43736113,big,11.99259259,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
25,LIRS 2014,acantho,CO2,232,78.30826232,big,8.074074074,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
26,LIRS 2014,acantho,CO2,233,51.29021387,big,30.4,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
27,LIRS 2014,chromis,CO2,234,45.51980643,big,30.76666667,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
28,LIRS 2014,humbug,CO2,236,37.66181177,big,15.41481481,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
29,LIRS 2014,chromis,CO2,241,39.64468444,big,15.08461538,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
30,LIRS 2014,acantho,CO2,245,50.68610929,big,39.8875,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
31,LIRS 2014,humbug,CO2,246,51.13223406,big,9.151851852,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
32,LIRS 2014,humbug,CO2,259,70.81238123,big,7.97037037,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
33,LIRS 2014,humbug,CO2,261,43.69046951,big,23.16296296,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
34,LIRS 2014,humbug,CO2,9696,78,big,NA,recording failed
35,LIRS 2014,humbug,CO2,7877,68,big,NA,recording failed
36,LIRS 2014,humbug,CO2,268,63.89885753,big,34.71481481,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
37,LIRS 2014,humbug,CO2,271,46.46712463,big,39.81481481,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
38,LIRS 2014,humbug,CO2,272,48.95953171,big,16.32592593,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
39,LIRS 2014,humbug,CO2,275,41.5364471,big,27.05925926,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
40,LIRS 2014,lemon,control,51,35.96739925,big,4.68,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
41,LIRS 2014,lemon,control,116,38.4083544,big,9.727272727,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
42,LIRS 2014,lemon,control,122,38.26908362,big,2.613043478,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
43,LIRS 2014,ambon,control,124,45.61380414,big,30.96923077,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
44,LIRS 2014,ambon,control,125,37.48352844,big,20.14347826,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
45,LIRS 2014,ambon,control,132,36.6920814,big,9.753846154,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
46,LIRS 2014,ambon,control,133,43.36113625,big,7.876470588,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
47,LIRS 2014,ambon,control,134,41.11481904,big,7.966666667,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
48,LIRS 2014,ambon,control,140,62.60738222,big,12.84444444,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
49,LIRS 2014,ambon,control,142,42.51461402,big,18.728,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
50,LIRS 2014,ambon,control,143,43.31510183,big,15.01481481,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
51,LIRS 2014,ambon,control,144,40.90564504,big,1.0625,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
52,LIRS 2014,ambon,control,147,44.12702366,big,36.43333333,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
53,LIRS 2014,ambon,control,148,35.20376295,big,11.18571429,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
54,LIRS 2014,ambon,control,149,35.85912348,big,38.22692308,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
55,LIRS 2014,ambon,control,151,37.92794013,big,28.11538462,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
56,LIRS 2014,ambon,control,152,43.68026205,big,17.92592593,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
57,LIRS 2014,acantho,control,179,78.12881175,big,1.968,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
58,LIRS 2014,chromis,control,182,38.19244575,big,32.476,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
59,LIRS 2014,chromis,control,183,47.60279718,big,33.325,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
