Study,Authors,Year (online),Year (print),Title,Journal,Pub year IF,2017 IF,Average n,Effect type,Species,Climate (FishBase),Env cue/stimulus?,Cue/stimulus type,Behavioural metric,Life stage,ctrl.n,ctrl.mean,ctrl.sd,oa.n,oa.mean,oa.sd
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Habitat,% time in Xanthostemon cue,Larvae,26,94.129,2.9931,46,72.789,13.273
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Habitat,% time in Melaleuca cue,Larvae,20,0.783,3.5017,46,83.562,10.6211
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Habitat,% time in Grass cue,Larvae,20,46.38,14.0023,46,71.429,13.273
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Habitat,% time in anemone cue,Larvae,10,98.826,1.8563,16,88.258,7.044
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Kin,% time in Parent vs Seawater cue,Larvae,30,0.912,2.996,20,99.818,0.0045
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Kin,% time in Non-parent vs Seawater cue,Larvae,30,90.876,3.9984,20,99.818,0.0045
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Kin,% time in Non-parent vs Parent cue,Larvae,30,96.35,3.9984,20,49.635,2.4463
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, untreat vs.  pred 1",Larvae,45,9.647,10.6459,45,7.937,7.0973
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, untreat vs. pred 2",Larvae,45,10.064,0.0067,45,10.582,7.0973
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, newly hatched, untreat vs.  Non-pred 1",Larvae,45,14.054,3.6291,45,14.516,3.609
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, newly hatched, untreat vs.  Non-pred 2",Larvae,45,12.973,10.8807,45,1.613,0.0007
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, pred 1 vs. non-pred 1",Larvae,45,11.111,7.0973,45,11.111,0.0067
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, non-pred 2 vs. pred 2",Larvae,45,10.582,0.0007,45,8.993,7.0973
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, untreat vs.  pred 1",Larvae,45,0.0001,0.0007,45,99.9999,0.0007
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, untreat vs. pred 2",Larvae,45,0.0001,0.0007,45,99.9999,0.0007
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, settlement stg, untreat vs. non-pred 1",Larvae,45,50.27,0.0007,45,99.9999,0.0007
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, settlement stg, untreat vs. non-pred 2",Larvae,45,50.811,0.0007,45,99.9999,0.0007
